Lumber 1	54817	59723	59.723	54817	59723	59.723	244	1345	507.001	234.442	288	1050	419	13341.9	59485.8	59.4858
Lumber 2	48901	53277.5	53.2775	48901	53277.5	53.2775	244	1325	498.709	234.967	281	1034	410	12848.8	53062.2	53.0622
Lumber 3	45672	49759.5	49.7595	45672	49759.5	49.7595	244	1308	472.758	208.781	282	959	394	11859.6	49490.5	49.4905
Lumber 4	37654	41023.9	41.0239	37654	41023.9	41.0239	244	1263	463.292	179.244	290	859	399	10055.7	40674.3	40.6743
Lumber 5	32629	35549.2	35.5492	32629	35549.2	35.5492	244	1235	462.374	167.798	294	828	410	9048.51	35312.1	35.3121
